Vehicle ID,Year,Make,Model,Engine Cylinders,Fuel Type 1,Combined MPG (FT1),Annual Fuel Cost (FT1)
26163,2009,Acura,MDX 4WD,6.0,Premium Gasoline,17,2500
25659,2009,Acura,RDX 4WD,4.0,Premium Gasoline,19,2250
25266,2009,Acura,RL,6.0,Premium Gasoline,18,2350
26252,2009,Acura,TL 2WD,6.0,Premium Gasoline,21,2000
26253,2009,Acura,TL 4WD,6.0,Premium Gasoline,20,2100
25236,2009,Acura,TSX,4.0,Premium Gasoline,25,1700
25235,2009,Acura,TSX,4.0,Premium Gasoline,23,1850
29558,2009,Alfa Romeo,8 C Spider,8.0,Premium Gasoline,13,3250
25211,2009,Aston Martin,DB9,12.0,Premium Gasoline,14,3000
25210,2009,Aston Martin,DB9,12.0,Premium Gasoline,13,3250
25781,2009,Aston Martin,DBS Coupe,12.0,Premium Gasoline,14,3000
25198,2009,Aston Martin,DBS Coupe,12.0,Premium Gasoline,13,3250
25380,2009,Aston Martin,V8 Vantage,8.0,Premium Gasoline,15,2800
25381,2009,Aston Martin,V8 Vantage,8.0,Premium Gasoline,14,3000
25298,2009,Audi,A3,4.0,Premium Gasoline,24,1750
25297,2009,Audi,A3,4.0,Premium Gasoline,24,1750
25299,2009,Audi,A3 quattro,4.0,Premium Gasoline,24,1750
26013,2009,Audi,A3 quattro,6.0,Premium Gasoline,21,2000
25895,2009,Audi,A4,4.0,Premium Gasoline,25,1700
26014,2009,Audi,A4 Avant quattro,4.0,Premium Gasoline,23,1850
25827,2009,Audi,A4 Cabriolet,4.0,Premium Gasoline,25,1700
25828,2009,Audi,A4 Cabriolet quattro,4.0,Premium Gasoline,23,1850
25829,2009,Audi,A4 Cabriolet quattro,6.0,Premium Gasoline,20,2100
25431,2009,Audi,A4 quattro,6.0,Premium Gasoline,20,2100
25897,2009,Audi,A4 quattro,4.0,Premium Gasoline,23,1850
25896,2009,Audi,A4 quattro,4.0,Premium Gasoline,25,1700
25404,2009,Audi,A5 quattro,6.0,Premium Gasoline,20,2100
25403,2009,Audi,A5 quattro,6.0,Premium Gasoline,20,2100
29649,2009,Audi,A6,6.0,Premium Gasoline,21,2000
26552,2009,Audi,A6 Avant quattro,6.0,Premium Gasoline,21,2000
